Company ID (Seller),Company Name,Address,City,Province,Region,Latitude,Longitude
4123,AGROMERIDIANO S.A,RUTA 70 Y ACCESO A GLEZ. MORENO,GONZALEZ MORENO,BUENOS AIRES,PAMPEANA,-35.54513,-63.37893
4474,AGROMOVIL DEL OESTE,ACC. A RUTA 226 S/N Y DR. RATTO,CARLOS TEJEDOR,BUENOS AIRES,PAMPEANA,-35.39315,-62.42992
6662,AGROPETROLERA CHAJARI S.R.L.,AVENIDA DOCTOR CASILLAS S/N,CHAJARI,ENTRE RIOS,CENTRO,-30.761698,-58.010036
6660,AGROPETROLERA CHAJARI S.R.L.,ENTRE RIOS 997,CONCORDIA,ENTRE RIOS,CENTRO,-31.39105623,-58.01722144
10747,ANJOR S.A.,AV. SIR ALEXANDER FLEMING 802,SAN ISIDRO,BUENOS AIRES,PAMPEANA,-34.489862,-58.524312
5938,AGRORUTA S.A.,RUTA 36 KM.155,PIPINAS,BUENOS AIRES,PAMPEANA,-35.53098,-57.32367
7855,AGROSERVICE GRAL. LEVALLE S.R.L.,A. ILLIA 187,GRAL. LEVALLE,CORDOBA,CENTRO,-34.01248,-63.92054
2311,AGROSERVICE RIESTRA S.A,DR. R. ALFONSIN (RUTA PROV.40-ACCESO),NORBERTO DE LA RIESTRA,BUENOS AIRES,PAMPEANA,-35.271991,-59.78814
10898,ANTONIO MERCURI S.A.C.I.F.,Moreno 22,MATHEU,BUENOS AIRES,PAMPEANA,-34.386956,-58.830135
8492,AGRO-SERVICIOS GAL - SEI S.R.L.,RUTA NAC. 95 KM 997.5,CNEL. DUGRATY,CHACO,NEA,-27.682159,-60.889634
6234,AGROSERVICIOS LAS MARIA S.R.L.,AV. DE TOMASO 101,CHIVILCOY,BUENOS AIRES,PAMPEANA,-34.88935,-60.02831
1972,AGROSUR S.H.,AV. CASEY 201,PIGUE,BUENOS AIRES,PAMPEANA,-37.60218,-62.40739
8381,AGROTRANSPORTE S.R.L.,Ruta Nac 95 Km 848 ACCESO A VILLA MINETTI,VILLA MINETTI,SANTA FE,CENTRO,-28.630666,-61.523738
10179,APASCO SA,Av Tomas Flores 2199,BERNAL,BUENOS AIRES,PAMPEANA,-34.74593,-58.33087
2765,AGUERO NORTE S.R.L,CRISOLOGO LARRALDE 5310,WILDE,BUENOS AIRES,PAMPEANA,-34.70508,-58.3357
8234,AGUSFED S.A,RUTA NACIONAL 3 KM 1453,TRELEW,CHUBUT,PATAGONIA,-43.28809,-65.26575
2454,AIMETTA S.R.L.,AVDA. GRAL. SAVIO 1202,RIO TERCERO,CORDOBA,CENTRO,-32.17027,-64.12785
4535,AIMETTA Y RIMONDA SRL,"RUTA PROV. 36 KM 717,5",ALMAFUERTE,CORDOBA,CENTRO,-32.1724,-64.2432
9556,ARAMENDI Y MOROSSINI S.A,Hermanos Islas 680,BRAGADO,BUENOS AIRES,PAMPEANA,-35.121009,-60.503959
2863,AL3 MULTISERVICIOS S.A,DON BOSCO 6004,ISIDRO CASANOVA,BUENOS AIRES,PAMPEANA,-34.680477,-58.615864
2546,ALAMINOS GONZALO Y ALAMINOS ANGELA S. DE HECHO,AV. COLON 4989,CORDOBA,CORDOBA,CENTRO,-31.39653,-64.2458
7960,ALBA LISANDRO,RUTA 20 KM 78.8,PIAMONTE,SANTA FE,CENTRO,-32.15119,-61.97718
5091,ALBANESI Y OLGIATI S.A.,ACC.PEDRO GUTIERREZ 2160,ROQUE PEREZ,BUENOS AIRES,PAMPEANA,-35.392208,-59.338859
6270,ALBERDI 2299 SRL,AV. JUAN B. ALBERDI 2299,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,-34.630529,-58.459995
2013,ALBERDI COMBUSTIBLES Y LUBRICANTES SACI,RUTA 7 342.5,ALBERDI,BUENOS AIRES,PAMPEANA,-34.4528,-61.84073
2230,ALBERDI GAS S.A.,AV. JUAN BAUTISTA ALBERDI 5628,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,-34.65023,-58.50073
4421,ALBERTO CROSSETI,RUTA NAC. 178 Y CALLE 5,LAS PAREJAS,SANTA FE,CENTRO,-32.69018,-61.52305
831,ALBERTO J. DICHIARA S.R.L.,AVDA. SAM MARTIN 1295,CHAÑAR LADEADO,SANTA FE,CENTRO,-33.316667,-62.035824
9449,ARBIZU Y PAGELLA S.R.L.,RUTA NACIONAL N° 3 KM 810.5,JUAN A PRADERE ,BUENOS AIRES,PAMPEANA,-39.536675,-62.679427
10169,AREA 226 ENERGIA S.A.,RUTA 226 Y RUTA 76,OLAVARRIA,BUENOS AIRES,PAMPEANA,-36.935538,-60.230045
10272,ARGAS ENERGIA SOCIEDAD ANONIMA,ARRIBEÑOS 330,ZARATE,BUENOS AIRES,PAMPEANA,-34.107348,-59.010342
10276,ARGAS ENERGIA SOCIEDAD ANONIMA,AV. SUAREZ 277 Y ANTONIO BARDI (EX CALLE 21),CHIVILCOY,BUENOS AIRES,PAMPEANA,-34.887318,-60.008406
9519,ARGENFUEL SA,Av. Pte. Peron 502,VILLA SARMIENTO,BUENOS AIRES,PAMPEANA,-34.63844,-58.57272
985,ALBERTO M. SURBALLE SRL,SAN ISIDRO 902,RIVADAVIA,MENDOZA,CUYO,-33.19211,-68.46315
468,ALBERTO RAFAEL ALT Y HÉCTOR JOSÉ ALT S.H.,AV.BELGRANO Y AV.SAN JUAN BOSCO s/n,ALTA GRACIA,CORDOBA,CENTRO,-31.65878,-64.42772
